"ALARM_ID","ALARM_NAME","ALARM_COLUMN","ALARM_CONDITION","ALARM_SQL","ALARM_EMAIL","CREATE_AT","STAT","OWNER"
"19","24A 年龄24岁以下进件占比周监控","ratio","ratio >0.1","select (sum(case when  tb.age <24 then 1 else 0 end)+1)/(count(*)+1) as ratio 
from 
(
    select national_id,(to_char(sysdate, 'yyyy') - substr(national_id, 7, 4)) as age
    from BI_ODS.EXTU_XYF_USER_INFO
    WHERE TRUNC(update_at) < TRUNC(SYSDATE)
    and   TRUNC(update_at) >= TRUNC(SYSDATE - 7)
)tb","table_dq_alarm","2019/2/13","1","lily"
"18","24A 贷款金额日监控","alarm_flag","alarm_flag=1","select case when count(*)>0 then 1 else 0 end as alarm_flag
from BI_ODS.EXTU_XYF_USER_INFO
WHERE TRUNC(update_at) < TRUNC(SYSDATE)
and   TRUNC(update_at) >= TRUNC(SYSDATE - 1)
and   (loan_amount <3000 or loan_amount >50000)","table_dq_alarm","2019/2/13","1","lily"
"17","24A 贷款期数日监控","alarm_flag","alarm_flag=1","select case when count(*)>0 then 1 else 0 end as alarm_flag
from BI_ODS.EXTU_XYF_USER_INFO
WHERE TRUNC(update_at) < TRUNC(SYSDATE)
and   TRUNC(update_at) >= TRUNC(SYSDATE - 1)
and   installments not in (3,6,9)","table_dq_alarm","2019/2/13","1","lily"
"16","24A 身份证有效期到期日监控","alarm_flag","alarm_flag=1","select case when sum(case when to_date(substr(valid_date_range,10,length(valid_date_range)-9),'yyyy-mm-dd') < to_date(SYSDATE) then 1 else 0 end) >0 
            then 1 
			else 0 
	    end as alarm_flag 
from BI_ODS.EXTU_XYF_USER_INFO
WHERE TRUNC(update_at) < TRUNC(SYSDATE)
and   TRUNC(update_at) >= TRUNC(SYSDATE - 1)
and   substr(valid_date_range,10,length(valid_date_range)-9) != '长期'","table_dq_alarm","2019/2/13","1","lily"
"15","24A信用飞有航旅数据占比周监控","ratio","ratio<0.5","select (tb.cnt_valid+1)/(tb.cnt_total+1) as ratio
from 
(
    select sum(case when flight_mileage is null then 1 else 0 end) as cnt_null
           ,sum(case when flight_mileage is not null then 1 else 0 end) as cnt_valid
           ,count(*) as cnt_total
    from BI_ODS.EXTU_XYF_USER_INFO
    WHERE TRUNC(update_at) < TRUNC(SYSDATE)
    and   TRUNC(update_at) >= TRUNC(SYSDATE - 7)

)tb","table_dq_alarm","2019/2/13","1","lily"
"14","24A航旅渠道进件占比周监控","ratio","ratio<0.2","select (tb.cnt_f+1)/(tb.cnt_total+1) as ratio
from 
(
    select sum(case when source_type='OTHER' then 1 else 0 end) as cnt_other
           ,sum(case when source_type like 'F%' then 1 else 0 end) as cnt_f
           ,count(*) as cnt_total
    from BI_ODS.EXTU_XYF_USER_INFO
    WHERE TRUNC(update_at) < TRUNC(SYSDATE)
    and   TRUNC(update_at) >= TRUNC(SYSDATE - 7)

)tb","table_dq_alarm","2019/2/13","1","lily"
"13","24A老客户进件占比周监控","ratio","ratio<0.5","select (tb.cnt_old+1)/(tb.cnt_total+1) as ratio
from 
(
    select sum(case when is_new_customer=0 then 1 else 0 end) as cnt_old
           ,sum(case when is_new_customer=1 then 1 else 0 end) as cnt_new
           ,count(*) as cnt_total
    from BI_ODS.EXTU_XYF_USER_INFO
    WHERE TRUNC(update_at) < TRUNC(SYSDATE)
    and   TRUNC(update_at) >= TRUNC(SYSDATE - 7)

)tb","table_dq_alarm","2019/2/13","1","lily"
"12","24A进件量日监控","cnt_total","cnt_total>100 or cnt_total=0","select count(*) as cnt_total
from BI_ODS.LLI_CREDIT_RESULTS_24A
WHERE TRUNC(created_at) < TRUNC(SYSDATE)
and   TRUNC(created_at) >= TRUNC(SYSDATE - 1)","table_dq_alarm","2019/2/13","1","lily"
"11","24A通过率周监控","ratio","ratio<0.6 or ratio>0.9","select (tb.cnt_approve+1)/(tb.cnt_total+1) as ratio
from 
(
    select sum(case when credit_result = 'Approve' then 1 else 0 end) as cnt_approve
           ,sum(case when credit_result = 'Decline' then 1 else 0 end) as cnt_decline
           ,count(*) as cnt_total
    from BI_ODS.LLI_CREDIT_RESULTS_24A
    WHERE TRUNC(created_at) < TRUNC(SYSDATE)
    and   TRUNC(created_at) >= TRUNC(SYSDATE - 7)

)tb","table_dq_alarm","2019/2/13","1","lily"
"39","9F1 phone字段异常日监控","alarm_flag","alarm_flag=1","select case when count(*)>0 then 1 else 0 end as alarm_flag
from BI_ODS.EXTU_KH_USER_INFO_NEW
WHERE TRUNC(raw_update_time) < TRUNC(SYSDATE)
and   TRUNC(raw_update_time) >= TRUNC(SYSDATE - 1)
and   length(phone) !=11","table_dq_alarm","2019/2/13","1","lily"
